Até,659.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Até,686.00,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Até,708.00,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Até,754.00,3.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Até,794.00,4.8%,1.0%,0.0%,0.0%,0.0%,0.0%
Até,836.00,5.7%,1.9%,1.0%,0.0%,0.0%,0.0%
Até,886.00,6.6%,3.8%,1.3%,0.0%,0.0%,0.0%
Até,974.00,7.4%,4.7%,3.0%,0.0%,0.0%,0.0%
Até,1081.00,8.3%,5.6%,3.8%,1.1%,0.0%,0.0%
Até,1225.00,9.4%,7.0%,4.8%,2.1%,0.2%,0.0%
Até,1404.00,10.9%,9.1%,7.2%,4.4%,2.7%,1.8%
Até,1629.00,11.9%,10.2%,8.3%,6.4%,4.6%,2.8%
Até,1733.00,13.4%,11.6%,10.8%,7.9%,6.0%,5.2%
Até,1849.00,14.3%,12.7%,11.9%,9.2%,7.4%,6.6%
Até,1998.00,15.3%,13.6%,12.8%,10.2%,9.4%,7.6%
Até,2157.00,16.3%,14.6%,13.8%,11.1%,10.4%,8.7%
Até,2347.00,17.3%,16.6%,14.9%,12.1%,11.3%,9.7%
Até,2566.00,18.2%,17.6%,15.9%,14.1%,12.3%,11.6%
Até,2934.00,19.3%,18.6%,16.9%,15.1%,13.4%,12.6%
Até,3356.00,21.9%,21.8%,20.2%,18.8%,17.4%,17.0%
Até,3611.00,22.9%,22.8%,21.4%,19.8%,19.4%,18.0%
Até,3882.00,23.9%,23.8%,22.4%,21.0%,20.4%,19.0%
Até,4210.00,24.9%,24.8%,23.4%,22.0%,21.6%,21.0%
Até,4604.00,26.4%,25.8%,24.4%,23.0%,22.6%,22.2%
Até,5076.00,27.4%,26.8%,26.4%,24.0%,23.6%,23.2%
Até,5654.00,28.4%,27.8%,27.4%,25.0%,24.6%,24.2%
Até,6381.00,29.4%,28.8%,28.4%,26.0%,25.6%,25.2%
Até,7323.00,30.3%,30.2%,29.8%,27.6%,27.4%,27.2%
Até,8441.00,31.3%,31.2%,31.0%,29.6%,28.4%,28.2%
Até,9336.00,32.8%,32.7%,32.5%,31.3%,29.9%,29.7%
Até,10448.00,33.8%,33.7%,33.5%,32.3%,32.1%,30.6%
Até,14013.00,35.1%,35.1%,34.5%,33.3%,33.1%,31.9%
Até,20118.00,37.1%,37.1%,36.9%,35.8%,35.6%,34.4%
Até,22749.00,38.1%,38.1%,37.9%,37.2%,36.6%,35.4%
Até,25276.00,39.1%,39.1%,38.9%,38.2%,38.0%,36.4%
Até,28309.00,40.1%,40.1%,39.9%,39.2%,39.0%,37.8%
Superior a,28309.00,41.1%,41.1%,40.9%,40.2%,40.0%,38.8%
